name,role,baseprice,age,batsmanType,bowlerType,mobile,email,photo
Aarav Sharma,Batsman,1000,19,Right-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/d6646243-4750-4b28-b2a5-9f6e594d17da.png
Vihaan Patel,Bowler,1250,20,N/A,Right Arm Fast,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/5e45e2fd-6660-4c5f-9272-5cee976ce23f.png
Aditya Reddy,All-Rounder,1500,21,Right-Hand Batsman,Right Arm Medium Fast,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/d4b95024-26aa-4b3d-9b81-56c2f9938c2c.png
Vivaan Singh,Wicketkeeper-Batsman,1750,22,Left-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/e3a468e3-0b6d-47d7-9394-8432dd18e85f.png
Arjun Kumar,Batsman,2000,23,Left-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/a1a1150a-1151-4ec9-85f2-d191050ffe50.png
Sai Gupta,Bowler,2250,24,N/A,Left Arm Orthodox,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/a32f75ee-4e35-4dcb-9b4e-b3f579364a41.png
Reyansh Mehta,All-Rounder,2500,25,Left-Hand Batsman,Left Arm Fast,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/3f776ef7-abcb-4f4d-b954-15862a9ce379.png
Ayaan Joshi,Bowler,2750,26,N/A,Right Arm Leg Spin,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/0f5fb0be-20d1-4006-a47b-f154f2317d17.png
Krishna Nair,Batsman,3000,27,Right-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/7c1df304-df8d-4376-af4e-fb8f514e175c.png
Ishaan Iyer,All-Rounder,3250,28,Right-Hand Batsman,Right Arm Off Spin,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/556aa011-c036-4b6c-b4f9-794ff5d52d95.png
Shaurya Chopra,Batsman,3500,29,Right-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/c739cc04-a4b9-429b-b615-b1229b27ece4.png
Atharv Malhotra,Bowler,3750,30,N/A,Right Arm Fast,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/3228cd2e-e4f7-487b-8525-3ca0854b2876.png
Advik Kapoor,All-Rounder,1000,31,Right-Hand Batsman,Right Arm Medium Fast,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/dccac479-37bd-4868-bc88-96c2bcdb18ee.png
Pranav Verma,Wicketkeeper-Batsman,1250,32,Left-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/087a0274-9cd2-4ca1-acef-5c7ccb0e9ab7.png
Rudra Shah,Batsman,1500,33,Left-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/b74a2b00-fbc4-43f9-965a-88b8be2f772c.png
Kabir Desai,Bowler,1750,34,N/A,Left Arm Orthodox,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/dbfa4476-216f-4df2-bf18-e861795a0a75.png
Yuvan Bose,All-Rounder,2000,19,Left-Hand Batsman,Left Arm Fast,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/765c4726-bcf2-440a-9d8f-be84800da25b.png
Dhruv Rao,Bowler,2250,20,N/A,Right Arm Leg Spin,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/8ac3a0c7-5ae2-4605-98cf-a9f2ad8d32d2.png
Ansh Pillai,Batsman,2500,21,Right-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/c3b6d842-e269-45c5-8c5a-cd6323da2656.png
Om Khan,All-Rounder,2750,22,Right-Hand Batsman,Right Arm Off Spin,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/6be57ec4-cf8e-4340-a363-ef3cd92bf1d3.png
Rohan Saxena,Batsman,3000,23,Right-Hand Batsman,N/A,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/539f1904-3dfb-4929-a7bb-c86a824d08c6.png
Karan Agarwal,Bowler,3250,24,N/A,Right Arm Fast,,,https://fxwfgbpzdrtksdrtoofl.supabase.co/storage/v1/object/public/auction-media/players/c505a72c-0163-453a-b9d6-f0d066a8492b.png
